import time: self [us] | cumulative | imported package
import time:       433 |      24572 |                   scipy.spatial.transform
import time:       627 |      51603 |                 scipy.spatial
import time:       536 |        536 |                           scipy.interpolate._fitpack
import time:       507 |        507 |                           scipy.interpolate._dfitpack
import time:      1138 |       2180 |                         scipy.interpolate._fitpack_impl
import time:       560 |        560 |                                     scipy.sparse.linalg._interface
import time:       320 |        320 |                                     scipy.sparse.linalg._isolve.utils
import time:       587 |       1466 |                                   scipy.sparse.linalg._isolve.iterative
import time:       396 |        396 |                                   scipy.sparse.linalg._isolve.minres
import time:       350 |        350 |                                     scipy.sparse.linalg._isolve._gcrotmk
import time:       389 |        738 |                                   scipy.sparse.linalg._isolve.lgmres
import time:       555 |        555 |                                   scipy.sparse.linalg._isolve.lsqr
import time:       438 |        438 |                                   scipy.sparse.linalg._isolve.lsmr
import time:       428 |        428 |                                   scipy.sparse.linalg._isolve.tfqmr
import time:       628 |       4647 |                                 scipy.sparse.linalg._isolve
import time:       708 |        708 |                                     scipy.sparse.linalg._dsolve._superlu
import time:       371 |        371 |                                       scikits
import time:        27 |        397 |                                     scikits.umfpack
import time:       701 |       1805 |                                   scipy.sparse.linalg._dsolve.linsolve
import time:       407 |        407 |                                   scipy.sparse.linalg._dsolve._add_newdocs
import time:       442 |       2653 |                                 scipy.sparse.linalg._dsolve
import time:       641 |        641 |                                       scipy.sparse.linalg._eigen.arpack._arpacklib
import time:       819 |       1459 |                                     scipy.sparse.linalg._eigen.arpack.arpack
import time:       558 |       2017 |                                   scipy.sparse.linalg._eigen.arpack
import time:       540 |        540 |                                     scipy.sparse.linalg._eigen.lobpcg.lobpcg
